Record_ID,Operator_Name,Installation_ID,Time,Solar_Irradiance,Panel_Temperature,Ambient_Temperature,Cloud_Cover,Humidity,Wind_Speed,Rainfall,Dust_Level,Panel_Efficiency,Inverter_Efficiency,Solar_Power_Output
100020,Priya,INST-2200,17:15,145.9,25.9,26.4,45.5,38.3,4.3,11,16.3,18.82,98.89,0.37
100021,Ravi,INST-5905,21:00,0,19.7,21.2,95.1,28,8.3,6.8,18.1,21.31,93.43,0.05
100022,John,INST-9280,15:30,240.8,21.9,20.2,81.5,40.8,0.1,19.3,19.1,18.57,97.19,0.41
100023,Akash,INST-1158,3:00,0,33.2,34.6,95.6,22.7,5.5,13.8,12.9,17.25,94.55,0.17
100024,Ravi,INST-6862,6:15,0,32.9,31.4,60,93,11.2,23.1,7.1,17.98,97.6,0
100025,Akash,INST-1406,5:30,0,28.6,27.9,82.6,75.1,3.7,4,21,19.3,92.27,0
100026,Kumar,INST-8541,11:30,386.3,27.2,23.4,73.8,49.9,4.2,1.7,23.2,19.11,95.57,0.7
100027,Meena,INST-1452,3:30,0,40.2,41.1,34.3,28.1,6.5,0,21.9,18.88,96.24,0
100028,Akash,INST-4114,8:00,214.3,42.2,40.2,63.8,74,11.1,16.8,10.9,17.42,96.65,0.27
100029,Meena,INST-3041,23:30,0,33.3,34,60.6,72.3,8.3,4.8,19.9,19.27,97.24,0
100030,John,INST-7653,17:00,188.2,38.9,36.9,27.3,44.2,6.6,0,20.3,20.07,97.56,0.52
100031,Arun,INST-2389,9:30,675.7,28.5,23.6,8.4,80.5,2.2,0,1.4,22.9,96.28,1.59
100032,Divya,INST-7790,20:15,0,26.8,27.2,77.5,31.1,10.3,22.3,25.8,22.31,97.45,0
100033,Divya,INST-1822,17:15,65.6,21.6,21.2,82.6,59.8,8.4,7.9,22.7,19.66,97.71,0.27
100034,Akash,INST-9976,14:15,382,26.4,24.2,66.9,67.8,11.5,13,18.8,18.65,92.54,0.51
100035,John,INST-6502,10:00,765.4,41.9,34.7,12.5,24.8,6.1,0,16.3,19.49,93.45,1.25
100036,Ravi,INST-7232,15:00,199.1,30.6,27.4,84.8,82.7,8.1,18.4,24,22.39,95.42,0.28
100037,Divya,INST-1475,12:30,510.3,41,35.4,60.2,89,14.7,13.4,27.2,20.55,96.64,0.71
100038,Akash,INST-3223,14:15,828.5,29.3,23.1,4.5,77.1,5.7,0,22.6,21.99,93.77,1.35
100039,Ravi,INST-9837,1:30,0,21.5,19.6,37.9,23,0.5,0,7.4,22.04,96.35,0
100040,Divya,INST-2874,18:15,0,27.3,26.9,41.9,92.3,10.8,19.4,4.9,18.87,96.05,0.17
100041,Akash,INST-7498,22:15,0,35.1,34.6,26.1,27.6,11.6,0,25.5,20.6,92.85,0.19
100042,Ravi,INST-6688,17:45,113.2,32.5,33.5,59.5,51.5,7.4,10.8,10.9,22.35,95.22,0.09
100043,Arun,INST-9548,20:30,0,41.2,40.1,69.3,54.9,12.4,14.8,9.7,18.47,98.54,0
100044,Divya,INST-4995,14:45,647.3,31.1,25.8,30.3,46.6,3.9,0,8.4,20.58,98.16,1.27
100045,Kumar,INST-2402,7:45,174.3,36.6,34.6,44,56.8,11.9,2.3,6.6,21.15,94.14,0.37
100046,Divya,INST-9698,11:45,245.9,28.3,26.4,89.7,43,3.5,18,9.5,21.46,98.66,0.57
100047,Kumar,INST-4545,23:45,0,33.2,32.2,42.1,64.8,14.7,20.8,8.9,19.17,94.12,0.08
100048,Arun,INST-5494,1:00,0,33.2,34.7,64.3,85.1,7.4,21.8,17.2,19.82,95.08,0
100049,Ravi,INST-5136,15:00,267.1,22.5,19.8,74,24,2.2,14.1,9.1,22.96,92.83,0.65
100050,Kumar,INST-9561,12:45,310.5,34.4,32.1,81.8,62.6,0.9,24,3,21.58,96.38,0.54
100051,Priya,INST-3573,7:15,137.9,29.7,27.8,49.7,55.2,0.5,7.2,8.5,22.16,92.5,0.16
100052,John,INST-4241,13:00,577.3,45.9,39.8,49,25.4,2.5,7.7,22.5,20.42,94.02,0.83
100053,John,INST-7594,8:45,339.8,43.1,39.3,39.4,65.3,0.4,0,6.9,21.05,98.02,0.71
100054,Ravi,INST-5415,18:00,0,30.2,30.5,68.7,40.9,15,10.9,24.4,22.81,95.29,0
100055,Meena,INST-2713,5:30,0,30.5,29.9,52.9,50,11.4,0.9,2.6,18.51,92.81,0.11
100056,Ravi,INST-9889,14:45,831.6,39.9,32.9,4.9,53.2,0.8,0,8,17.79,94.02,1.49
100057,Divya,INST-2989,0:15,0,23.5,25.5,76.8,50.6,3.4,21,3.4,22.68,96.53,0
100058,John,INST-9337,22:30,0,29.5,29.6,53.2,54.3,2.2,4.8,18,21.48,92.96,0
100059,Akash,INST-6568,16:30,183.6,27,25.2,73.8,94.9,7.3,3.7,16.2,19.07,95.86,0.33
100060,Divya,INST-6272,6:15,0,34.8,36.6,51.5,75.9,10.6,20.3,11.6,20.98,97.75,0.19
100061,Divya,INST-1606,4:30,0,38.7,39,89.6,59.4,6.9,18.1,12.3,20.93,93.08,0
100062,John,INST-6546,19:45,0,39.9,38.4,72,84.5,5.7,7.9,21.6,21.56,98.11,0
100063,Priya,INST-4846,20:30,0,35.7,35.9,99.8,27.4,9.5,21.8,13.3,21.16,98.32,0
100064,Ravi,INST-5806,11:30,643.7,34,27.9,38.8,33.5,2.6,0,18.3,19.3,96.78,1.09
100065,Arun,INST-4804,14:30,574.2,44.2,39.6,41.4,41.6,8.2,1.8,28.4,22.93,94.09,1.25
100066,John,INST-8484,9:15,191.2,21.7,20.6,89.9,46.9,4.4,17.5,0.7,21.98,94.77,0.2
100067,Ravi,INST-9138,9:15,379.3,36.9,33.3,54.6,70.8,10.8,16.5,25.2,20.77,98.32,0.74
100068,John,INST-8222,1:30,0,19.3,20.2,78.6,76.1,2.6,3.3,16.2,22.83,95.72,0.17
100069,Arun,INST-5210,15:30,304.7,25.2,20.8,67.2,30.6,14.5,21.5,21.7,22.88,98.77,0.74
100070,Meena,INST-2479,12:00,786.6,34.4,26.8,23.8,39.7,5.7,0,19.2,19.23,96.72,1.31
100071,Meena,INST-4626,20:00,0,29.9,29.1,70.8,68.7,1.8,1.1,1.1,22.98,92.81,0
100072,Arun,INST-7367,14:30,440.3,44,40.7,60.3,75.7,2.3,10.4,3,19.94,94.86,1
100073,Ravi,INST-7070,6:45,0,28.6,26.7,40,47.6,13.5,16.1,1.8,18.66,98.78,0.18
100074,Divya,INST-2501,21:15,0,30.4,32.3,71.3,79,3.7,3.1,16.9,17.41,97.36,0
100075,Kumar,INST-4817,10:15,357.6,29.6,24.7,71,94.1,8.1,20,3.3,22.2,92.92,0.67
100076,Kumar,INST-6304,0:15,0,20.7,21,41.2,28.5,1,11.2,10.9,20.56,95.16,0
100077,Ravi,INST-9543,9:45,347.2,46.2,42,57.9,52,1.6,17.8,13.3,22.4,94.25,0.54
100078,Arun,INST-5505,19:30,0,31.5,32.3,50.5,57.9,6.5,19.8,3.4,20.93,98.14,0.02
100079,Kumar,INST-8046,14:15,610.3,33.6,27.6,37.2,43.4,4.7,0,7.6,22.72,96.81,1.28
100080,Priya,INST-2398,2:45,0,37,35.7,27.7,61.7,8.8,0,16.8,18.98,92.86,0
100081,Akash,INST-1842,9:30,523.7,28.1,23.1,31.6,36.8,1.6,0,25.4,19.21,97.34,0.88
100082,Akash,INST-1430,19:30,0,25.6,24.6,22.3,89.1,5.3,0,5.4,17.86,96.6,0
100083,Ravi,INST-2503,23:15,0,27.5,28.9,50.1,43.4,4.9,23.5,17.9,22.3,93.09,0.1
100084,Ravi,INST-2336,8:45,251.2,29.8,28.6,59.6,76.6,1.7,10.7,8.5,21.07,95.41,0.55
100085,Ravi,INST-4612,12:00,986.3,29.8,23.1,0.7,39.2,4.9,0,0.2,21.48,93.23,1.93
100086,Kumar,INST-9196,17:30,259.3,19.3,19,6.5,89.1,12.9,0,17.3,20.44,96.97,0.44
100087,Priya,INST-7636,0:30,0,40.6,40.7,33.7,71.7,5.4,0,13.1,17.64,95.05,0
100088,Priya,INST-7484,9:30,600.8,25.4,19.8,19.9,59.8,2.9,0,23.3,19.11,98.71,1.06
100089,Arun,INST-4871,3:15,0,20.8,22.2,40.5,76.9,1.1,23.8,18.8,19.78,95.95,0.03
100090,Meena,INST-6179,4:45,0,27.8,28.6,25.5,40.6,0.8,0,15.2,18.86,95.16,0
100091,John,INST-2257,20:00,0,30,30.2,69.2,61.6,11.9,22.4,13.5,21.86,96.56,0
100092,Divya,INST-9214,4:00,0,38.8,37.5,56,93.7,1.3,16.2,1.2,21.25,98.94,0.01
100093,Arun,INST-6962,11:30,696.2,38.3,34.3,34.9,67.3,5,0,9.9,20.35,94.71,1.18
100094,Arun,INST-6461,2:15,0,26.1,25.4,93.3,69.7,1.9,17.7,2.5,20.35,96.5,0
100095,Arun,INST-9624,2:45,0,17.7,18.4,60.7,91.3,5.1,19.2,5.8,23,93.08,0
100096,Priya,INST-9317,17:00,145.4,34.4,32.8,59.6,31.6,2.7,17.3,18.7,22.42,97.05,0.1
100097,Meena,INST-4891,14:30,388.7,25.8,23.6,67.7,92.4,11.8,22.6,5.8,21.07,95.99,0.74
100098,John,INST-7256,16:45,150.3,37,37.2,87,38.8,9.6,21.9,16.6,17.62,97.92,0.38
100099,John,INST-2374,5:30,0,31.6,30.3,55.9,26.9,13.7,20.4,26.5,22.58,94.9,0
100100,Meena,INST-4862,12:00,699.9,47.5,40.3,33.7,68.7,11.9,0,4.1,18.72,97.81,1.32
100101,Arun,INST-8685,14:00,258.4,23.9,23.2,81.5,90.5,9.1,10.6,23.3,18.43,92.85,0.29
100102,Divya,INST-2029,3:45,0,18.5,18.4,67.7,38.1,2.2,10.7,18.4,18.44,94.92,0.07
100103,Priya,INST-9576,11:00,277,39.2,36.9,85.8,21.5,13.1,1.1,11.6,19.24,97.23,0.43
100104,Priya,INST-6649,7:00,118.5,25.1,26,69.4,61,12.2,4.4,23.4,19.79,96.87,0.25
100105,Arun,INST-2033,22:45,0,24,22.8,23,86.4,4.7,0,9.3,19.39,97.71,0
100106,Ravi,INST-4131,9:30,231.8,34.8,33.7,77.6,80,6.6,10,13.2,22.74,94.37,0.34
100107,Divya,INST-7018,16:30,208.7,22,19.9,72.1,81.7,8.2,8,2.4,20.97,94.15,0.45
100108,Akash,INST-3730,22:45,0,20.5,19,48.1,46.4,15,6.9,29.4,22.69,92.53,0.06
100109,Meena,INST-9406,23:15,0,21.9,21.4,96.2,78.6,0.5,1.7,23.4,19.2,94.68,0.03
100110,Arun,INST-8371,11:30,627.4,26,21.3,40,43.6,4.2,0,28.8,17.16,93.3,0.87
100111,Priya,INST-5288,8:45,424,40.2,34.7,19.3,35,2,0,2.2,18.04,96.99,0.93
100112,Meena,INST-6692,22:00,0,24.2,25,64,31.8,10.6,17.5,5.2,19.17,93.57,0.19
100113,Arun,INST-4878,15:00,518.6,35.5,29.2,32.5,29.7,13.3,0,2,19.39,97.02,0.96
100114,Akash,INST-7708,18:00,0,19.6,19.8,11.3,58.8,1.9,0,24.9,20.31,96.11,0.11
100115,Arun,INST-8088,16:00,189,25.5,25.3,74.8,90.1,3.4,23.7,15.6,18.7,92.55,0.18
100116,John,INST-3050,20:30,0,20.8,20.2,69.2,64.4,8.7,4.3,18.7,22.41,94.36,0.17
100117,Ravi,INST-1464,2:00,0,35.6,36.5,95.9,35.8,8.6,15.5,0.9,22.33,95.82,0.06
100118,John,INST-8912,7:45,184,20.7,19.4,26.8,56.3,3.1,0,18.2,18.88,97.03,0.4
100119,Meena,INST-7532,4:30,0,19.5,20.5,61.2,29.2,6.7,3.5,1.5,22.67,98.05,0
100120,Arun,INST-6364,18:30,0,41.8,41.9,17.1,85.9,7.5,0,2.7,19.36,95.2,0
100121,Meena,INST-1797,1:30,0,39.8,39.2,59.6,55.3,8.1,21.2,12.9,22.29,97.09,0.11
100122,Meena,INST-1741,12:00,560.1,34.2,31.3,51.3,57.8,11.5,7,29.7,21.08,92.83,1.12
100123,Akash,INST-7114,10:30,363.6,33.2,30.2,67.9,23.4,2.1,8.3,14.2,19.74,96.24,0.65
100124,Meena,INST-6218,5:45,0,34.9,35.7,99.2,45.2,12.4,13.3,21.3,18.8,97.71,0
100125,Priya,INST-7824,18:30,9,32.7,34.5,71.7,55.6,14.5,19.6,23.3,20.47,97.05,0.05
100126,Arun,INST-9589,20:45,0,32.5,34.3,31.8,91.1,1.6,0,0.6,18.88,93.06,0.08
100127,Akash,INST-9221,19:45,0,33.9,35.7,89.8,30.4,3.1,8.1,19.9,20.15,94.2,0
100128,Meena,INST-9950,11:30,511.6,28.4,23.9,54.9,36.9,14.6,7.4,8.7,18.24,96.93,0.79
100129,Meena,INST-5480,9:00,404.7,42.4,39.5,51.6,45.9,11.6,3.7,1.3,22.73,92.55,1.02
100130,John,INST-8849,6:15,0,30.6,31.5,74.5,28.2,11.1,6,1.5,22.43,93.58,0
100131,Priya,INST-7771,10:45,811.6,25.1,18.1,9,89.7,6.1,0,28.1,22.27,95.34,1.36
100132,John,INST-6262,9:00,209.2,33.7,31.8,81.7,74.2,14.1,22.8,5.3,22.29,93.23,0.59
100133,Akash,INST-9116,5:30,0,18.5,18.2,90.1,28,14.7,7.1,29.7,20.26,95.46,0.18
100134,Divya,INST-5470,6:00,9.2,34.5,33.6,29.8,21.1,5.1,0,8.9,21.05,93.35,0.06
100135,Akash,INST-8007,16:30,474.2,24.9,22.4,7.8,44.3,3.7,0,7.8,18.41,97.28,1
100136,John,INST-1187,8:30,222.7,21.9,20.8,62.3,50.4,7.5,22.4,21.1,18.87,92.82,0.52
100137,John,INST-7021,19:15,0,19.8,21.2,37.5,76.1,9.1,0,12.5,20.3,95.3,0.02
100138,Kumar,INST-5054,21:00,0,30.1,30.7,62,88.8,1.7,20.7,27.1,18.21,95.76,0
100139,Divya,INST-2904,21:15,0,31.3,29.7,77.4,53.4,0.8,3.3,12.5,20.38,95.91,0.07
100140,John,INST-1356,12:30,397.5,33.4,31.9,73.5,45.8,1,24.9,28,17.41,98.54,0.4
100141,Akash,INST-3948,4:45,0,39.2,39.4,50,88.8,5.7,2,28.9,22.25,92.93,0.14
100142,Priya,INST-3924,17:45,165.3,22.7,23.3,47.6,21.7,4.5,16.8,16.3,20.19,97.76,0.2
100143,Meena,INST-3541,8:15,157.5,23.3,20.7,84.4,51.4,11.5,22.1,0.5,18.24,92.71,0.08
100144,Ravi,INST-5009,23:00,0,22.5,23.6,52.2,84.8,0.8,12.6,8.7,21.89,97.12,0
100145,Meena,INST-4881,9:15,185.2,28.6,27.9,88.7,61.8,8.9,18.4,5.3,21.07,95.89,0.18
100146,Meena,INST-7244,16:30,235.2,25.9,25.2,62.7,60.3,3.6,5.6,25.7,17.87,95.24,0.17
100147,Akash,INST-7824,17:15,173.6,25.7,25.9,35,53.7,5.6,0,16.1,21.98,92.36,0.27
100148,Ravi,INST-2192,6:15,14.8,27.9,26,43.1,21.2,14.1,24.1,3.5,23,95.35,0
100149,Kumar,INST-7498,7:30,103.5,31.1,30.8,69.8,39.6,7.7,12.4,3,22.89,95.29,0.36
100150,Kumar,INST-7073,10:45,850.9,40.9,35.8,4.1,61.5,8.8,0,21.6,18.77,93.37,1.22
100151,Kumar,INST-9180,17:30,221.7,43.6,41.2,23.2,56.8,2.5,0,23.8,18.02,97.04,0.34
100152,Ravi,INST-9584,1:00,0,35.1,34,95.6,50.9,12.6,5.8,21.2,17.05,95.54,0
100153,Divya,INST-8993,0:00,0,25.9,27.9,62.6,74.2,8,7.2,15.1,21.19,95.01,0.18
100154,Arun,INST-2753,3:15,0,31.9,32.9,39.3,46.6,11.9,0,2.4,22.76,95.21,0
100155,Kumar,INST-5914,21:00,0,39.6,38.6,72.3,27,5.7,13.8,1.7,17.06,93.2,0
100156,Akash,INST-6427,18:00,16.8,25.3,23.5,80.5,71.9,8.5,6.8,27.7,21.11,93.96,0.05
100157,Ravi,INST-3938,10:00,245,38.9,36.1,86.5,49.9,1.2,4.1,7.2,22.01,94.72,0.65
100158,Meena,INST-7288,23:15,0,32.9,34.5,83.2,75.9,5.2,2.4,7,17.46,96.24,0.05
100159,Akash,INST-6347,0:30,0,27.7,28.8,82.7,61.5,5.6,4.6,17.6,19.28,97.41,0
100160,Kumar,INST-2204,2:30,0,35.6,35.1,32.3,75.5,4.8,0,3.2,17.03,94.16,0
100161,John,INST-2674,4:00,0,29,28.8,35,50.6,0.4,0,10.6,17.56,96.19,0
100162,Akash,INST-1202,9:45,484.8,45.3,39.6,34.9,93.4,8.6,0,5.1,19.28,92.97,0.77
100163,Divya,INST-3390,2:15,0,28,28.1,54.8,25.8,3.8,6.2,18.8,20.56,93.37,0
100164,John,INST-1110,12:30,364,41.5,38.7,75.7,52.3,12.4,16.3,17.8,18.8,96.22,0.68
100165,Divya,INST-6147,5:45,0,25.8,25,97.5,56.8,8.6,6.1,11.3,21.9,94.75,0
100166,Kumar,INST-9939,5:00,0,29.9,29.1,96.2,52.9,4.4,17.3,24.6,21.77,94.86,0
100167,John,INST-4965,8:15,243.3,23.8,19.8,64.4,55.9,6,12.7,27.6,21.15,95.81,0.54
100168,Meena,INST-9796,19:00,0,24.6,24,28.7,32.5,9.2,0,16.9,20.87,96.53,0.19
100169,Meena,INST-8052,3:00,0,24.3,23.3,27.9,61.8,10.3,0,6.6,19.24,95.24,0.07
100170,Arun,INST-6651,0:45,0,29.8,28,28.4,28.7,14.1,0,4.3,18.87,95.19,0
100171,Divya,INST-6706,15:00,482.6,28.9,25.7,39.4,80.8,1.7,0,25.5,20.89,96.74,0.72
100172,Kumar,INST-9454,5:15,0,28.1,28.2,46.5,79.8,9.4,4.7,19.7,19.37,97.16,0.15
100173,Divya,INST-8037,12:00,459.7,41.1,36.1,63.4,24.7,1.5,21.8,5.6,18.96,95.2,0.71
100174,Divya,INST-9646,20:30,0,33,32.7,67.8,46.1,12.7,15.4,24.4,21.24,94.08,0.05
100175,Priya,INST-3194,10:00,695.7,31.3,27,21.5,49.1,8.9,0,17.2,19.54,95.41,1.2
100176,Arun,INST-3733,15:30,625.3,32.2,28.8,12.6,46.9,0.1,0,4.1,21.89,98.75,1.33
100177,Divya,INST-7703,21:45,0,38.1,38.2,53.3,26.2,0.5,19,8.8,18.65,95.76,0
100178,Divya,INST-9115,17:00,138.4,34.2,31,51.5,60.7,11.4,19,13.2,18.31,94.98,0.32
100179,Kumar,INST-5877,1:45,0,37,38.7,41,84.9,1.8,20.3,6.3,21.43,96.82,0.14
100180,Akash,INST-3719,19:15,0,38.7,37.5,82.8,62.8,8,14.9,5.1,22.87,94.05,0.03
100181,Priya,INST-3221,13:00,261.6,24.7,21,89.3,38.7,10.7,20.7,22.8,21.06,95.43,0.5
100182,John,INST-7786,12:45,955.1,44,36.5,6.8,76.2,10.4,0,26.3,19.73,95.42,1.59
100183,Priya,INST-8511,20:30,0,36.7,37.1,88,92.6,12.4,12.4,9.7,18.7,95.83,0
100184,Divya,INST-6631,21:00,0,34.4,33,23.7,21.2,13.9,0,4.7,19.74,98.94,0
100185,Arun,INST-5945,5:30,0,25,26.7,27.5,69.8,9.7,0,1.6,20.75,97.08,0.1
100186,Akash,INST-2494,22:00,0,28,29.4,20.1,37,10.2,0,0.3,21.17,97.72,0.2
100187,Akash,INST-3165,15:00,569.3,40.5,37.3,20.6,47.6,4.5,0,11.5,21.88,98.12,1.21
100188,Arun,INST-2120,16:00,257.7,27.4,26.4,54.9,76.1,13.8,15.4,13.3,18.3,98.28,0.29
100189,Priya,INST-7291,11:45,723.7,29,24.6,28.3,61.5,9,0,18.2,21.67,96.83,1.52
100190,John,INST-4366,16:15,211.4,22.7,19.3,67.3,91.6,7.4,2.8,15,20.56,95.7,0.58
100191,Meena,INST-6185,4:45,0,31.1,31.6,88.9,71.2,11.4,23.9,23.1,17.1,92.47,0
100192,Ravi,INST-1990,12:30,528.6,33.2,28,56.6,26.2,8,15.4,8.3,18.86,95.58,0.79
100193,Arun,INST-9788,10:45,495.7,38.3,33.6,52.8,43.3,6.6,23.8,7.2,18.47,98.47,0.72
100194,Ravi,INST-6067,21:15,0,35.8,35,29.6,32.3,14.3,0,15.7,21.7,97.05,0
100195,Arun,INST-5403,23:00,0,19.9,18.7,81.7,40.4,1,17.8,17.3,17.46,95.19,0
100196,Divya,INST-3734,11:15,765.2,39,31.8,23,37.1,7.6,0,1.3,22.18,93.71,1.57
100197,Akash,INST-3458,5:00,0,40.9,39.9,64.2,51.5,4.8,10.4,21.6,18.63,92.55,0
100198,Ravi,INST-3938,7:00,56.4,28.8,29.2,85.9,83.4,4.9,13.8,0.2,18.2,95.95,0.02
100199,Kumar,INST-8600,11:45,254.1,37.9,35.6,89.8,79.7,2.3,23.3,0.7,20.25,96.45,0.57
100200,Ravi,INST-6488,0:45,0,33.9,35.5,87.9,59.7,3.6,12.3,1.8,22.98,96.98,0
100201,Kumar,INST-9515,13:30,643.7,37.3,31.9,41.3,67.8,5.9,14.8,1.9,20.97,92.91,1.16
100202,Meena,INST-7438,22:30,0,22.8,24.5,45.4,35.2,11.7,14.6,4.7,17.99,95.26,0
100203,Meena,INST-4401,14:30,579.2,26.2,20.2,41.7,42.8,10.6,15.1,6.5,22.14,93.04,1.24
100204,Meena,INST-7492,16:00,236.5,41.9,41.8,60.9,50.3,6.8,18.7,7.5,19.77,97.63,0.3
100205,Ravi,INST-2010,7:15,216.4,38,34.5,17.8,26.3,8.8,0,27.5,17.45,98.98,0.2
100206,Divya,INST-3110,2:30,0,38.8,40.6,29.8,89.3,6.5,0,21.7,19.98,94.68,0
100207,Meena,INST-4517,5:30,0,37.3,39.2,42.4,66.4,3.7,7.4,12.4,20.3,92.43,0
100208,Arun,INST-7868,6:15,12.1,39.1,37.1,56.8,78.6,5.4,13.6,14.5,22.48,95.52,0
100209,Arun,INST-1427,10:15,859.4,33.1,24.7,2.6,55.4,5.4,0,17.5,18.4,93.12,1.24
100210,Kumar,INST-5366,17:00,128.4,34.8,31.8,68.8,49.1,14,24.8,5.2,18.42,94.23,0.31
100211,Meena,INST-1462,22:30,0,31.8,31.5,95.8,34.1,14.8,22,14.8,18.85,95.43,0
100212,Kumar,INST-4584,0:45,0,38.8,40,20.1,29.8,10.8,0,27.6,22.07,94.27,0
100213,Arun,INST-2817,16:30,134.7,41.3,40.6,86.5,27.6,4.5,3.4,4.7,22.69,97.54,0.48
100214,Meena,INST-3854,22:30,0,30.8,32.1,37.9,43,10.3,0,3.8,21.37,98.64,0.18
100215,Akash,INST-1530,5:30,0,40.1,41.2,93.7,62.4,14.1,3.5,22.4,18.43,98.88,0
100216,Priya,INST-6500,14:00,683.7,24.4,19.6,23.9,28.1,0,0,11.6,21.4,98.78,1.52
100217,Divya,INST-7204,11:45,891.6,46.8,38.7,9.1,71.5,2.4,0,2.2,22.07,94.06,1.74
100218,Priya,INST-2215,10:15,275.7,23.9,19.8,79.9,93.4,5.1,24.6,26.8,21.23,95.02,0.54
100219,Akash,INST-3573,1:00,0,41,41.4,46.5,61.6,13.9,13.5,19.8,18.78,92.67,0
100220,Divya,INST-3516,1:30,0,21.4,20.1,20.3,66.9,7.2,0,2.9,18.24,96.47,0.19
100221,Divya,INST-2892,9:45,473.1,28.9,24.4,42.4,49.1,5.6,9.5,5.6,17.27,95.08,0.66
100222,John,INST-2009,4:00,0,26.4,26.3,26.9,92.8,8.8,0,16.6,22.04,97.73,0
100223,Divya,INST-4860,15:30,681.3,40.8,35.1,7.1,87.5,12,0,20.3,20.72,92.84,1.28
100224,Arun,INST-3738,6:15,0,41.5,41.7,11.4,94.8,9.4,0,25,18.55,98.38,0.17
100225,Priya,INST-2425,12:45,600.2,37.1,30.5,49.7,20.9,10.5,14.7,23.5,17.68,93.05,0.9
100226,Priya,INST-2730,18:00,14.7,40.8,39.1,70.7,39.8,9.8,14.3,14.2,18.03,94.82,0.07
100227,Akash,INST-1635,12:30,464.1,32.3,29.4,62.1,47.9,5.1,19.8,9.3,22.06,98.01,1.03
100228,Kumar,INST-3201,9:45,289.4,38.3,35.5,69.7,26.7,6.6,22.8,12.2,19.91,95.62,0.47
100229,Ravi,INST-9442,5:00,0,28.7,30.2,44.9,83.8,13.2,0.7,5.8,22,97.86,0
100230,Divya,INST-1828,11:15,780.4,37.2,30.1,24.7,29.3,0.5,0,11.2,20.56,93.24,1.56
100231,Meena,INST-6640,5:30,0,33.7,34.5,79.9,49,2.4,14.3,28.9,22.14,96.53,0.07
100232,John,INST-7709,16:00,194.4,35.9,34.4,77.8,29.9,2.6,20,6.7,20.65,98.6,0.47
100233,John,INST-7943,12:30,644.5,30.7,25.3,41.3,66.8,8.8,0.2,30,22.8,97.88,1.25
100234,John,INST-5890,21:00,0,25.2,26.1,58.5,44.4,4.2,16.4,28.6,20.91,93.32,0.01
100235,Kumar,INST-1930,19:45,0,35.2,34.3,72.8,69.2,15,6.5,12.6,19.33,92.25,0.08
100236,Kumar,INST-6622,23:15,0,33.2,33.3,74.9,90.6,5.4,7.5,5.1,20.95,95.91,0
100237,Divya,INST-3096,23:30,0,33.1,31.4,78,91,13.5,16.4,6.7,18.34,98.1,0
100238,Meena,INST-7089,8:30,310.8,22.4,19.3,41.7,63.5,9.3,11.8,5.8,17.72,96.76,0.53
100239,Akash,INST-1885,4:15,0,28.2,26.2,99.4,87,14.8,3.6,25.9,18.08,92.57,0
